content_id,country_id
s1,117
s2,101
s5,47
s8,117
s8,41
s8,19
s8,116
s8,40
s8,36
s9,116
s10,117
s13,40
s13,30
s16,117
s18,69
s22,112
s25,47
s26,8
s28,117
s29,117
s30,117
s30,47
s30,38
s33,116
s38,37
s39,25
s39,22
s39,117
s40,47
s41,117
s42,117
s43,117
s44,117
s45,117
s47,101
s47,117
s47,55
s49,117
s50,79
s51,47
s52,55
s53,55
s54,55
s55,55
s56,117
s57,55
s58,55
s59,55
s60,55
s61,55
s62,55
s63,55
s64,55
s66,116
s67,47
s68,117
s70,47
s73,116
s74,79
s77,55
s82,117
s83,117
s85,79
s91,104
s91,117
s92,38
s93,14
s95,116
s95,117
s96,117
s96,116
s97,117
s98,117
s99,116
s100,38
s100,117
s102,117
s105,102
s106,47
s107,117
s108,117
s109,8
s110,104
s112,117
s112,97
s115,47
s116,116
s116,8
s116,38
s117,47
s118,116
s118,117
s119,47
s121,8
s123,116
s123,8
s123,38
s123,117
s125,102
s126,117
s127,47
s128,117
s128,22
s130,40
s130,117
s132,117
s134,101
s134,117
s135,117
s135,69
s136,117
s136,53
s136,38
s136,55
s137,117
s137,53
s137,91
s137,116
s138,8
s138,117
s139,117
s140,117
s141,6
s141,120
s142,117
s142,116
s142,22
s143,40
s143,117
s144,117
s145,117
s146,117
s147,117
s150,117
s151,117
s152,25
s152,44
s153,117
s154,92
s155,55
s156,116
s156,117
s157,117
s158,22
s159,117
s160,44
s161,117
s162,117
s163,117
s163,25
s163,44
s164,117
s165,117
s167,53
s167,117
s168,117
s168,22
s169,117
s170,117
s171,117
s172,117
s173,117
s173,40
s174,117
s175,117
s176,117
s177,117
s178,116
s178,117
s179,117
s180,117
s183,117
s184,117
s185,117
s189,38
s191,47
s192,116
s192,22
s192,117
s193,47
s194,1
s194,102
s196,47
s199,79
s200,47
s201,47
s202,47
s203,47
s204,47
s205,47
s206,47
s207,47
s208,47
s209,47
s210,47
s211,47
s212,47
s213,51
s216,47
s217,47
s218,47
s220,55
s221,117
s228,117
s229,117
s229,116
s230,117
s232,117
s233,117
s234,116
s242,117
s248,117
s252,117
s254,47
s255,117
s260,47
s260,75
s264,117
s265,117
s266,55
s267,47
s268,77
s268,8
s268,38
s268,117
s270,53
s271,53
s271,17
s271,42
s272,117
s273,117
s274,38
s275,117
s276,6
s277,104
s278,56
s279,26
s280,117
s280,55
s281,117
s282,79
s283,69
s284,14
s284,116
s285,116
s285,117
s286,108
s286,116
s286,8
s287,117
s289,26
s290,102
s291,117
s292,55
s293,116
s294,101
s296,117
s297,52
s297,117
s298,47
s299,79
s300,38
s301,22
s301,117
s302,47
s303,17
s304,6
s305,116
s306,6
s306,104
s307,79
s308,117
s309,117
s311,117
s312,69
s313,117
s314,110
s315,117
s316,117
s316,79
s317,110
s318,117
s320,110
s322,110
s323,110
s324,117
s325,53
s326,117
s327,117
s328,117
s328,116
s329,18
s329,117
s330,117
s330,22
s331,117
s331,22
s333,117
s333,69
s334,117
s335,117
s336,117
s338,117
s338,22
s339,55
s341,117
s341,116
s342,117
s343,117
s344,117
s345,117
s346,117
s346,22
s347,117
s348,104
s348,116
s348,117
s349,116
s349,117
